water_risk_id,indicator,year,scenario,value,main_id,source_id
water_risk-ed23117f-2030-bau-2,Water Depletion Label,2030,bau,Low (<5%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2030-bau-3,Interannual Variability Label,2030,bau,Low - Medium (0.25-0.50),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2030-pes-1,Water Stress Label,2030,pes,Low (<10%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2030-pes-2,Water Depletion Label,2030,pes,Low (<5%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2030-pes-3,Interannual Variability Label,2030,pes,Low - Medium (0.25-0.50),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2030-opt-1,Water Stress Label,2030,opt,Low (<10%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2030-opt-2,Water Depletion Label,2030,opt,Low (<5%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2030-opt-3,Interannual Variability Label,2030,opt,Low - Medium (0.25-0.50),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2050-bau-1,Water Stress Label,2050,bau,Low (<10%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2050-bau-2,Water Depletion Label,2050,bau,Low (<5%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2050-bau-3,Interannual Variability Label,2050,bau,Low - Medium (0.25-0.50),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2050-pes-1,Water Stress Label,2050,pes,Low (<10%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2050-pes-2,Water Depletion Label,2050,pes,Low (<5%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2050-pes-3,Interannual Variability Label,2050,pes,Low - Medium (0.25-0.50),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2050-opt-1,Water Stress Label,2050,opt,Low (<10%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2050-opt-2,Water Depletion Label,2050,opt,Low (<5%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2050-opt-3,Interannual Variability Label,2050,opt,Low - Medium (0.25-0.50),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2080-bau-1,Water Stress Label,2080,bau,Low (<10%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2080-bau-2,Water Depletion Label,2080,bau,Low (<5%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2080-bau-3,Interannual Variability Label,2080,bau,Low - Medium (0.25-0.50),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2080-pes-1,Water Stress Label,2080,pes,Low (<10%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2080-pes-2,Water Depletion Label,2080,pes,Low (<5%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2080-pes-3,Interannual Variability Label,2080,pes,Low - Medium (0.25-0.50),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2080-opt-1,Water Stress Label,2080,opt,Low (<10%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2080-opt-2,Water Depletion Label,2080,opt,Low (<5%),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-ed23117f-2080-opt-3,Interannual Variability Label,2080,opt,Low - Medium (0.25-0.50),BC-MAIN-ed23117f,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2020-baseline-1,Water Stress Label,2020,baseline,Low (<10%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2020-baseline-2,Water Depletion Label,2020,baseline,Low (<5%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2020-baseline-3,Interannual Variability Label,2020,baseline,Low - Medium (0.25-0.50),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2020-baseline-4,Groundwater Table Decline Label,2020,baseline,Insignificant Trend,QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2020-baseline-5,Coastal Eutrophication Potential Label,2020,baseline,Medium - High (0 to 1),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2030-bau-1,Water Stress Label,2030,bau,Low (<10%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2030-bau-2,Water Depletion Label,2030,bau,Low (<5%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2030-bau-3,Interannual Variability Label,2030,bau,Low (<0.25),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2030-pes-1,Water Stress Label,2030,pes,Low (<10%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2030-pes-2,Water Depletion Label,2030,pes,Low (<5%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2030-pes-3,Interannual Variability Label,2030,pes,Low (<0.25),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2030-opt-1,Water Stress Label,2030,opt,Low (<10%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2030-opt-2,Water Depletion Label,2030,opt,Low (<5%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2030-opt-3,Interannual Variability Label,2030,opt,Low (<0.25),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2050-bau-1,Water Stress Label,2050,bau,Low (<10%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2050-bau-2,Water Depletion Label,2050,bau,Low (<5%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2050-bau-3,Interannual Variability Label,2050,bau,Low (<0.25),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2050-pes-1,Water Stress Label,2050,pes,Low (<10%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2050-pes-2,Water Depletion Label,2050,pes,Low (<5%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2050-pes-3,Interannual Variability Label,2050,pes,Low (<0.25),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2050-opt-1,Water Stress Label,2050,opt,Low (<10%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2050-opt-2,Water Depletion Label,2050,opt,Low (<5%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2050-opt-3,Interannual Variability Label,2050,opt,Low (<0.25),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2080-bau-1,Water Stress Label,2080,bau,Low (<10%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2080-bau-2,Water Depletion Label,2080,bau,Low (<5%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2080-bau-3,Interannual Variability Label,2080,bau,Low (<0.25),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2080-pes-1,Water Stress Label,2080,pes,Low (<10%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2080-pes-2,Water Depletion Label,2080,pes,Low (<5%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2080-pes-3,Interannual Variability Label,2080,pes,Low (<0.25),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2080-opt-1,Water Stress Label,2080,opt,Low (<10%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2080-opt-2,Water Depletion Label,2080,opt,Low (<5%),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-089f3c60-2080-opt-3,Interannual Variability Label,2080,opt,Low (<0.25),QC-MAIN-089f3c60,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2020-baseline-1,Water Stress Label,2020,baseline,Low (<10%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2020-baseline-2,Water Depletion Label,2020,baseline,Low (<5%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2020-baseline-3,Interannual Variability Label,2020,baseline,Low - Medium (0.25-0.50),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2020-baseline-4,Groundwater Table Decline Label,2020,baseline,Insignificant Trend,NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2020-baseline-5,Coastal Eutrophication Potential Label,2020,baseline,Low (<-5),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2030-bau-1,Water Stress Label,2030,bau,Low (<10%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2030-bau-2,Water Depletion Label,2030,bau,Low (<5%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2030-bau-3,Interannual Variability Label,2030,bau,Low - Medium (0.25-0.50),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2030-pes-1,Water Stress Label,2030,pes,Low (<10%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2030-pes-2,Water Depletion Label,2030,pes,Low (<5%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2030-pes-3,Interannual Variability Label,2030,pes,Low - Medium (0.25-0.50),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2030-opt-1,Water Stress Label,2030,opt,Low (<10%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2030-opt-2,Water Depletion Label,2030,opt,Low (<5%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2030-opt-3,Interannual Variability Label,2030,opt,Low - Medium (0.25-0.50),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2050-bau-1,Water Stress Label,2050,bau,Low (<10%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2050-bau-2,Water Depletion Label,2050,bau,Low (<5%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2050-bau-3,Interannual Variability Label,2050,bau,Low - Medium (0.25-0.50),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2050-pes-1,Water Stress Label,2050,pes,Low (<10%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2050-pes-2,Water Depletion Label,2050,pes,Low (<5%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2050-pes-3,Interannual Variability Label,2050,pes,Low - Medium (0.25-0.50),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2050-opt-1,Water Stress Label,2050,opt,Low (<10%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2050-opt-2,Water Depletion Label,2050,opt,Low (<5%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2050-opt-3,Interannual Variability Label,2050,opt,Low - Medium (0.25-0.50),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2080-bau-1,Water Stress Label,2080,bau,Low (<10%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2080-bau-2,Water Depletion Label,2080,bau,Low (<5%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2080-bau-3,Interannual Variability Label,2080,bau,Low - Medium (0.25-0.50),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2080-pes-1,Water Stress Label,2080,pes,Low (<10%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2080-pes-2,Water Depletion Label,2080,pes,Low (<5%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2080-pes-3,Interannual Variability Label,2080,pes,Low - Medium (0.25-0.50),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2080-opt-1,Water Stress Label,2080,opt,Low (<10%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2080-opt-2,Water Depletion Label,2080,opt,Low (<5%),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-251d6364-2080-opt-3,Interannual Variability Label,2080,opt,Low - Medium (0.25-0.50),NL-MAIN-251d6364,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2020-baseline-1,Water Stress Label,2020,baseline,Low (<10%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2020-baseline-2,Water Depletion Label,2020,baseline,Low (<5%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2020-baseline-3,Interannual Variability Label,2020,baseline,Low - Medium (0.25-0.50),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2020-baseline-4,Groundwater Table Decline Label,2020,baseline,Insignificant Trend,ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2020-baseline-5,Coastal Eutrophication Potential Label,2020,baseline,High (1 to 5),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2030-bau-1,Water Stress Label,2030,bau,Low (<10%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2030-bau-2,Water Depletion Label,2030,bau,Low (<5%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2030-bau-3,Interannual Variability Label,2030,bau,Medium - High (0.50-0.75),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2030-pes-1,Water Stress Label,2030,pes,Low (<10%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2030-pes-2,Water Depletion Label,2030,pes,Low (<5%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2030-pes-3,Interannual Variability Label,2030,pes,Medium - High (0.50-0.75),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2030-opt-1,Water Stress Label,2030,opt,Low (<10%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2030-opt-2,Water Depletion Label,2030,opt,Low (<5%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2030-opt-3,Interannual Variability Label,2030,opt,Medium - High (0.50-0.75),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2050-bau-1,Water Stress Label,2050,bau,Low (<10%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2050-bau-2,Water Depletion Label,2050,bau,Low (<5%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2050-bau-3,Interannual Variability Label,2050,bau,Medium - High (0.50-0.75),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2050-pes-1,Water Stress Label,2050,pes,Low (<10%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2050-pes-2,Water Depletion Label,2050,pes,Low (<5%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2050-pes-3,Interannual Variability Label,2050,pes,Medium - High (0.50-0.75),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2050-opt-1,Water Stress Label,2050,opt,Low (<10%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2050-opt-2,Water Depletion Label,2050,opt,Low (<5%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2050-opt-3,Interannual Variability Label,2050,opt,Medium - High (0.50-0.75),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2080-bau-1,Water Stress Label,2080,bau,Low (<10%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2080-bau-2,Water Depletion Label,2080,bau,Low (<5%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2080-bau-3,Interannual Variability Label,2080,bau,Medium - High (0.50-0.75),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2080-pes-1,Water Stress Label,2080,pes,Low (<10%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2080-pes-2,Water Depletion Label,2080,pes,Low (<5%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2080-pes-3,Interannual Variability Label,2080,pes,Medium - High (0.50-0.75),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2080-opt-1,Water Stress Label,2080,opt,Low (<10%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2080-opt-2,Water Depletion Label,2080,opt,Low (<5%),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-be399420-2080-opt-3,Interannual Variability Label,2080,opt,Medium - High (0.50-0.75),ON-MAIN-be399420,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2020-baseline-1,Water Stress Label,2020,baseline,Low (<10%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2020-baseline-2,Water Depletion Label,2020,baseline,Low (<5%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2020-baseline-3,Interannual Variability Label,2020,baseline,Low - Medium (0.25-0.50),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2020-baseline-4,Groundwater Table Decline Label,2020,baseline,Insignificant Trend,QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2020-baseline-5,Coastal Eutrophication Potential Label,2020,baseline,Low - Medium (-5 to 0),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2030-bau-1,Water Stress Label,2030,bau,Low (<10%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2030-bau-2,Water Depletion Label,2030,bau,Low (<5%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2030-bau-3,Interannual Variability Label,2030,bau,Low - Medium (0.25-0.50),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2030-pes-1,Water Stress Label,2030,pes,Low (<10%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2030-pes-2,Water Depletion Label,2030,pes,Low (<5%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2030-pes-3,Interannual Variability Label,2030,pes,Low - Medium (0.25-0.50),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2030-opt-1,Water Stress Label,2030,opt,Low (<10%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2030-opt-2,Water Depletion Label,2030,opt,Low (<5%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2030-opt-3,Interannual Variability Label,2030,opt,Low - Medium (0.25-0.50),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2050-bau-1,Water Stress Label,2050,bau,Low (<10%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2050-bau-2,Water Depletion Label,2050,bau,Low (<5%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2050-bau-3,Interannual Variability Label,2050,bau,Low - Medium (0.25-0.50),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2050-pes-1,Water Stress Label,2050,pes,Low (<10%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2050-pes-2,Water Depletion Label,2050,pes,Low (<5%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2050-pes-3,Interannual Variability Label,2050,pes,Low - Medium (0.25-0.50),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2050-opt-1,Water Stress Label,2050,opt,Low (<10%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2050-opt-2,Water Depletion Label,2050,opt,Low (<5%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2050-opt-3,Interannual Variability Label,2050,opt,Low - Medium (0.25-0.50),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2080-bau-1,Water Stress Label,2080,bau,Low (<10%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2080-bau-2,Water Depletion Label,2080,bau,Low (<5%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2080-bau-3,Interannual Variability Label,2080,bau,Low - Medium (0.25-0.50),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2080-pes-1,Water Stress Label,2080,pes,Low (<10%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2080-pes-2,Water Depletion Label,2080,pes,Low (<5%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2080-pes-3,Interannual Variability Label,2080,pes,Low - Medium (0.25-0.50),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2080-opt-1,Water Stress Label,2080,opt,Low (<10%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2080-opt-2,Water Depletion Label,2080,opt,Low (<5%),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-3330383b-2080-opt-3,Interannual Variability Label,2080,opt,Low - Medium (0.25-0.50),QC-MAIN-3330383b,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-6fca9d6d-2020-baseline-1,Water Stress Label,2020,baseline,Low (<10%),MB-MAIN-6fca9d6d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-6fca9d6d-2020-baseline-2,Water Depletion Label,2020,baseline,Low (<5%),MB-MAIN-6fca9d6d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-6fca9d6d-2020-baseline-3,Interannual Variability Label,2020,baseline,Low - Medium (0.25-0.50),MB-MAIN-6fca9d6d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-6fca9d6d-2020-baseline-4,Groundwater Table Decline Label,2020,baseline,Insignificant Trend,MB-MAIN-6fca9d6d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-6fca9d6d-2020-baseline-5,Coastal Eutrophication Potential Label,2020,baseline,Low - Medium (-5 to 0),MB-MAIN-6fca9d6d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-6fca9d6d-2030-bau-1,Water Stress Label,2030,bau,Low (<10%),MB-MAIN-6fca9d6d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-6fca9d6d-2030-bau-2,Water Depletion Label,2030,bau,Low (<5%),MB-MAIN-6fca9d6d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-6fca9d6d-2030-bau-3,Interannual Variability Label,2030,bau,Low - Medium (0.25-0.50),MB-MAIN-6fca9d6d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-6fca9d6d-2030-pes-1,Water Stress Label,2030,pes,Low (<10%),MB-MAIN-6fca9d6d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-6fca9d6d-2030-pes-2,Water Depletion Label,2030,pes,Low (<5%),MB-MAIN-6fca9d6d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-6fca9d6d-2030-pes-3,Interannual Variability Label,2030,pes,Low - Medium (0.25-0.50),MB-MAIN-6fca9d6d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-6fca9d6d-2030-opt-1,Water Stress Label,2030,opt,Low (<10%),MB-MAIN-6fca9d6d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-6fca9d6d-2030-opt-2,Water Depletion Label,2030,opt,Low (<5%),MB-MAIN-6fca9d6d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-6fca9d6d-2030-opt-3,Interannual Variability Label,2030,opt,Low - Medium (0.25-0.50),MB-MAIN-6fca9d6d,https://www.wri.org/data/aqueduct-global-maps-40-data
